Cod: 465310336 | Nome: Aciclovir 200mg, comprimido   
Cod: 465310048 | Nome: Aciclovir 50mg/g - pomada -  bisnaga com 10g
Cod: 465311694 | Nome: Ácido Acetilsalicílico 100 mg, comprimido  
Cod: 465310387 | Nome: Ácido fólico 5mg 
Cod: 465310527 | Nome: Água bidestilada esterilizada - solução injetável - ampola com 10ml
Cod: 465310758 | Nome: Água bidestilada esterilizada – solução injetável – frasco com 1000ml - SISTEMA FECHADO
Cod: 465311857 | Nome: Albendazol 400mg, comprimidos mastigáveis
Cod: 465310085 | Nome: Alendronato de sódio 70mg, comprimido 
Cod: 465310256 | Nome: Alopurinol 100mg, comprimido 
Cod: 465310611 | Nome: Aminofilina 100mg, comprimido  

Cod: 465310103 | Nome: Aminofilina 24mg/ml - solução injetável - ampola com 10ml
Cod: 465310138 | Nome: Amiodarona, Cloridrato 200mg, comprimido 
Cod: 465310106 | Nome: Cloridrato de Amitriptilina, 25mg, comprimido 
Cod: 465310038 | Nome: Amoxicilina 500mg, comprimido revestido ou cápsula, em blister
Cod: 465310050 | Nome: Amoxicilina 500mg + clavulanato de potássio 125mg, comprimido
Cod: 465310872 | Nome: Amoxicilina 50mg/ml (250mg/5ml), pó para suspensão oral, frasco com 60ml, com dosador graduado
Cod: 465313113 | Nome: Amoxicilina 50mg/ml + Clavulanato de potássio 12,5g/ml - solução oral - frasco com 75ml
Cod: 465311044 | Nome: Anlodipino, besilato 5mg, comprimido 
Cod: 465310488 | Nome: Atenolol 50mg
Cod: 465310100 | Nome: Atropina, Sulfato  0,25mg/ml - solução injetável - ampola com 1ml 
Cod: 465310493 | Nome: Azitromicina (diidratada) 600mg (40mg/mL) - solução oral - frasco com  15ml
Cod: 465310898 | Nome: Azitromicina 500mg, comprimido
Cod: 465311601 | Nome: Beclometasona (dipropionato) 200mcg/dose - spray oral - frasco com 200 doses
Cod: 465310633 | Nome: Beclometasona (dipropionato) 50mcg/dose – spray nasal - frasco com 200 doses
Cod: 465310634 | Nome: Dipropionato de Beclometasona, 50mcg, spray oral,  frasco com 200 doses
Cod: 465310886 | Nome: Benzalcônio, cloreto  0,1mg/ml + cloreto de sódio 9mg/ml - solução nasal - frasco com 30mL
Cod: 465311152 | Nome: Brometo de N-Butilescopolamina, 10mg, Comprimido ou Drágea
Cod: 465310045 | Nome: Brometo n-butilescopolamina 20mg/ml  - solução injetável - ampola com 1ml 
Cod: 465310638 | Nome: Bromoprida 10mg, Comprimido
Cod: 465310378 | Nome: Bromoprida 4mg/ml - solução oral - frasco com 20ml
Cod: 465310333 | Nome: Bromoprida 10mg, solução injetável, ampola com 2ml
Cod: 465310253 | Nome: Captopril 25mg, comprimido 
Cod: 465310368 | Nome: Carbonato de Cálcio 1250mg (equivalente a 500mg de cálcio elementar), comprimidos
